time,glucose,lactose,biomass,growth_rate,glucose_uptake,lactose_uptake
0.0,25.0,25.0,0.005,1.1368695082703062,11.952191235059761,-0.0
0.05,24.993850552001014,25.0,0.005292461957441027,1.1368692251415267,11.952179519141021,-0.0
0.1,24.987341828692962,25.0,0.005602010942755358,1.136868925320017,11.952167112474724,-0.0
0.15000000000000002,24.98045231304978,25.0,0.005929670328094601,1.1368686077879344,11.952153972941883,-0.0
0.2,24.973159702684573,25.0,0.006276500841690632,1.1368682714874352,11.952140056768693,-0.0
0.25,24.965440522118804,25.0,0.0066436190094418205,1.1368679153023469,11.952125317768061,-0.0
0.30000000000000004,24.957269906599926,25.0,0.00703220743693086,1.136867538047688,11.952109706904505,-0.0
0.35000000000000003,24.948621462849694,25.0,0.007443521433928569,1.136867138462553,11.952093172002307,-0.0
0.4,24.93946721242562,25.0,0.007878891708536045,1.1368667152068619,11.95207565760806,-0.0
0.45,24.92977757649786,25.0,0.008339725092718303,1.1368662668598017,11.95205710492902,-0.0
0.5,24.919521159489776,25.0,0.008827514833294699,1.1368657919090108,11.952037451382443,-0.0
0.55,24.908664813269052,25.0,0.009343837540907564,1.136865288752473,11.952016630677408,-0.0
0.6000000000000001,24.897173524878568,25.0,0.009890358529670271,1.1368647556922826,11.951994572554144,-0.0
0.65,24.885010110999403,25.0,0.010468846353018032,1.1368641909192048,11.951971202146053,-0.0
0.7000000000000001,24.872135309508952,25.0,0.011081168448333728,1.1368635925155068,11.951946440097052,-0.0
0.75,24.858507472365655,25.0,0.011729305748563991,1.1368629584391208,11.951920201905956,-0.0
0.8,24.844082572701446,25.0,0.01241535234543232,1.1368622865221838,11.951892397866207,-0.0
0.8500000000000001,24.82881395364583,25.0,0.013141527440092391,1.1368615744573407,11.95186293249926,-0.0
0.9,24.812652395784237,25.0,0.01391017213338169,1.1368608197986625,11.951831704591877,-0.0
0.9500000000000001,24.795545684243503,25.0,0.014723770026271898,1.1368600199388983,11.951798606255917,-0.0
1.0,24.777438477098574,25.0,0.01558495347992244,1.1368591721004784,11.951763522554595,-0.0
1.05,24.758272171235507,25.0,0.0164965099989619,1.1368582733259607,11.951726331108862,-0.0
1.1,24.737984872372593,25.0,0.017461383663655485,1.1368573204730528,11.951686901889744,-0.0
1.1500000000000001,24.71651105098029,25.0,0.01848269149773705,1.1368563101943663,11.951645096382208,-0.0
1.2000000000000002,24.693781321059365,25.0,0.01956373400046659,1.1368552389224558,11.951600766964063,-0.0
1.25,24.66972220735294,25.0,0.020708006227293692,1.1368541028535892,11.951553756236967,-0.0
1.3,24.64425602706118,25.0,0.02191920341580117,1.1368528979363783,11.9515038965533,-0.0
1.35,24.617300458405406,25.0,0.02320124152702587,1.136851619844734,11.951451008898832,-0.0
1.4000000000000001,24.588768392480567,25.0,0.024558264294122452,1.1368502639633735,11.95139490229227,-0.0
1.4500000000000002,24.55856769062023,25.0,0.02599465477231783,1.1368488253678641,11.951335372960186,-0.0
1.5,24.52660070925699,25.0,0.02751505796601465,1.1368472987925096,11.951272203006525,-0.0
1.55,24.492764198932907,25.0,0.029124385628727618,1.1368456786146695,11.951205159765975,-0.0
1.6,24.456948843441292,25.0,0.030827838212668778,1.1368439588205885,11.951133994387884,-0.0
1.6500000000000001,24.419038836200986,25.0,0.032630925043799594,1.13684213297118,11.951058440421887,-0.0
1.7000000000000002,24.37891176540532,25.0,0.03453946977997834,1.1368401941808495,11.950978212940988,-0.0
1.75,24.3364381417056,25.0,0.036559632907952555,1.1368381350770511,11.950893006867807,-0.0
1.8,24.29148070608602,25.0,0.03869794472940615,1.1368359477466088,11.950802494753809,-0.0
1.85,24.243894188825905,25.0,0.040961316825894635,1.1368336237010384,11.950706325344166,-0.0
1.9000000000000001,24.193524824644374,25.0,0.04335706515440595,1.1368311538269216,11.950604121523662,-0.0
1.9500000000000002,24.140209869032454,25.0,0.0458929331044307,1.136828528332623,11.95049547811329,-0.0
2.0,24.083777149400838,25.0,0.04857711290125146,1.136825736692654,11.950379959566003,-0.0
2.0500000000000003,24.024044385144276,25.0,0.051418277977213024,1.1368227675757552,11.950257096992452,-0.0
2.1,23.96081865563104,25.0,0.05442560833779912,1.1368196087747642,11.950126385258335,-0.0
2.15,23.893895732596928,25.0,0.057608822435408984,1.1368162471234131,11.949987279540863,-0.0
2.2,23.823059479283216,25.0,0.06097820578325762,1.1368126684090987,11.949839191720475,-0.0
2.25,23.74808119215803,25.0,0.06454464233381046,1.136808857274496,11.949681486307812,-0.0
2.3000000000000003,23.668718804076644,25.0,0.06831965251534625,1.1368047971023394,11.9495134756782,-0.0
2.35,23.584715957017284,25.0,0.07231543752201712,1.1368004698822207,11.949334414557567,-0.0
2.4000000000000004,23.495801433023523,25.0,0.07654490638657378,1.1367958560826004,11.949143494726965,-0.0
2.45,23.40168823709514,25.0,0.08102171976908315,1.1367909344899774,11.948939838368466,-0.0
2.5,23.302072489093717,25.0,0.08576034298171467,1.1367856820202902,11.948722490259815,-0.0
2.5500000000000003,23.196632570694323,25.0,0.09077608666593291,1.136780073522853,11.94849040966077,-0.0
2.6,23.085028199443002,25.0,0.0960851509754885,1.136774081556563,11.94824246105386,-0.0
2.6500000000000004,22.966899252371913,25.0,0.10170468186838308,1.1367676761246217,11.94797740316672,-0.0
2.7,22.841864374286555,25.0,0.10765283783524263,1.1367608243639784,11.947693876119981,-0.0
2.75,22.709520112326754,25.0,0.1139488310506717,1.1367534902239917,11.947390388132211,-0.0
