time,glucose,lactose,biomass,growth_rate,glucose_uptake,lactose_uptake
0.0,25.0,25.0,0.01,0.9784059285742714,9.9601593625498,-0.0
0.05,24.98979220214402,25.0,0.010501365965539893,0.9784043150517745,9.960143153361207,-0.0
0.1,24.97907263588552,25.0,0.011027867924475517,0.9784026192213543,9.960126117320259,-0.0
0.15000000000000002,24.967815649326205,25.0,0.01158076579304976,0.9784008368100635,9.960108211501591,-0.0
0.2,24.955994299165496,25.0,0.012161382915773676,0.978398963314387,9.960089390663962,-0.0
0.25,24.9435802930511,25.0,0.012771108896909328,0.978396993988268,9.960069607128919,-0.0
0.30000000000000004,24.930543923592275,25.0,0.01341140284144721,0.9783949238292691,9.960048810643004,-0.0
0.35000000000000003,24.916853993506123,25.0,0.014083797031589093,0.9783927475631853,9.960026948222202,-0.0
0.4,24.902477736410606,25.0,0.014789900817040557,0.9783904596273858,9.960003963985388,-0.0
0.45,24.887380749140434,25.0,0.015531403939350022,0.9783880541556866,9.959979799001765,-0.0
0.5,24.871526903141074,25.0,0.016310080883835697,0.9783855249593353,9.95995439109996,-0.0
0.55,24.854878258930363,25.0,0.01712779508084215,0.9783828655079029,9.959927674676507,-0.0
0.6000000000000001,24.83739497578279,25.0,0.017986503341636536,0.9783800689089032,9.95989958049062,-0.0
0.65,24.81903521515284,25.0,0.018888260601806883,0.9783771278856939,9.959870035442146,-0.0
0.7000000000000001,24.799755039824184,25.0,0.019835224874587335,0.9783740347538943,9.959838962335146,-0.0
0.75,24.779508321704014,25.0,0.020829661779576947,0.9783707813984573,9.959806279647108,-0.0
0.8,24.758246616097498,25.0,0.02187395071777704,0.9783673592443769,9.959771901234882,-0.0
0.8500000000000001,24.735919040590254,25.0,0.022970590820309125,0.9783637592271028,9.959735736037565,-0.0
0.9,24.712472169054124,25.0,0.024122206154349162,0.9783599717642932,9.959697687792383,-0.0
0.9500000000000001,24.687849903226155,25.0,0.025331552030550465,0.9783559867226218,9.959657654701633,-0.0
1.0,24.661993331144505,25.0,0.026601521955976367,0.9783517933811143,9.95961552906396,-0.0
1.05,24.63484058876797,25.0,0.027935154430669365,0.9783473803933238,9.959571196894872,-0.0
1.1,24.606326712678303,25.0,0.029335640182181426,0.9783427357463723,9.959524537515048,-0.0
1.1500000000000001,24.576383485050844,25.0,0.03080632977983908,0.9783378467167926,9.959475423106234,-0.0
1.2000000000000002,24.54493927034548,25.0,0.03235074165564905,0.9783326998226487,9.959423718231545,-0.0
1.25,24.511918845137444,25.0,0.033972570462136566,0.9783272807723747,9.959369279319821,-0.0
1.3,24.47724321751633,25.0,0.03567569594252289,0.9783215744088612,9.95931195410528,-0.0
1.35,24.440829439051928,25.0,0.03746419216597257,0.9783155646494337,9.959251581024041,-0.0
1.4000000000000001,24.40259040654888,25.0,0.03934233726433957,0.9783092344206967,9.959187988559252,-0.0
1.4500000000000002,24.36243465465824,25.0,0.04131462361796428,0.9783025655879019,9.959120994532341,-0.0
1.5,24.320266136274107,25.0,0.043385768641371544,0.9782955388781254,9.959050405330572,-0.0
1.55,24.275983995163852,25.0,0.04556072595040771,0.9782881337972145,9.958976015072935,-0.0
1.6,24.229482328943046,25.0,0.04784469700357841,0.9782803285397098,9.958897604705285,-0.0
1.6500000000000001,24.18064992801032,25.0,0.0502431439240065,0.9782720998886298,9.958814940993552,-0.0
1.7000000000000002,24.129370015043005,25.0,0.05276180229389659,0.9782634231084527,9.958727775448592,-0.0
1.75,24.07551996683662,25.0,0.05540669481610187,0.9782542718273511,9.958635843143322,-0.0
1.8,24.01897102362685,25.0,0.05818414559042698,0.9782446179086066,9.95853886142073,-0.0
1.85,23.959587979212962,25.0,0.06110079533283415,0.97823443130884,9.958436528469896,-0.0
1.9000000000000001,23.89722886054788,25.0,0.06416361711190478,0.9782236799233239,9.958328521771778,-0.0
1.9500000000000002,23.8317445913998,25.0,0.06737993286755718,0.9782123294158865,9.958214496390731,-0.0
2.0,23.762978636183483,25.0,0.07075743090368442,0.9782003430311336,9.95809408308803,-0.0
2.0500000000000003,23.6907666269733,25.0,0.07430418420664048,0.9781876813875348,9.957966886242907,-0.0
2.1,23.614935973373758,25.0,0.07802866960564259,0.9781743022489795,9.957832481558341,-0.0
2.15,23.535305453520436,25.0,0.08193978785984238,0.9781601602721773,9.957690413522831,-0.0
2.2,23.451684781332904,25.0,0.08604688491150148,0.9781452067258545,9.957540192589848,-0.0
2.25,23.363874156941456,25.0,0.0903597739656064,0.9781293891797206,9.957381292052993,-0.0
2.3000000000000003,23.271663792688088,25.0,0.09488875876887695,0.9781126511578094,9.957213144563852,-0.0
2.35,23.174833413010454,25.0,0.09964465817117603,0.9780949317514152,9.957035138243308,-0.0
2.4000000000000004,23.073151736146272,25.0,0.10463883157986101,0.9780761651876727,9.956846612347505,-0.0
2.45,22.96637592461653,25.0,0.10988320594699973,0.9780562803451897,9.95664685240247,-0.0
2.5,22.854251009530348,25.0,0.11539030404205891,0.9780352002105348,9.956435084743788,-0.0
2.5500000000000003,22.736509291208428,25.0,0.121173273887623,0.9780128412675532,9.956210470381084,-0.0
2.6,22.612869702855615,25.0,0.12724592000895837,0.9779891128068112,9.955972098062347,-0.0
2.6500000000000004,22.483037149987563,25.0,0.13362273587451592,0.9779639161463732,9.955718976444205,-0.0
2.7,22.346701818380446,25.0,0.14031893788196548,0.9779371437480506,9.95545002521568,-0.0
2.75,22.20353843869353,25.0,0.14735050147056422,0.9779086782110344,9.955164064986874,-0.0
