,gene_id,gene_name,wild_type_growth,knockout_growth,growth_ratio,growth_drop,is_essential,reactions
b3833,b3833,ubiE,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['AMMQLT8', 'OMBZLM']"
b3994,b3994,thiC,0.9823718127269792,-9.59532467741064e-16,-9.76750814009499e-16,0.9823718127269802,True,['AMPMS2']
b0896,b0896,dmsC,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['DMSOR1', 'TMAOR2', 'TMAOR1', 'DMSOR2']"
b1982,b1982,amn,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['AMPN']
b0430,b0430,cyoC,0.9823718127269792,0.8935716128482426,0.9096063234629719,0.08880019987873655,False,['CYTBO3_4pp']
b0432,b0432,cyoA,0.9823718127269792,0.8935716128482426,0.9096063234629719,0.08880019987873655,False,['CYTBO3_4pp']
b0894,b0894,dmsA,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['DMSOR1', 'TMAOR2', 'TMAOR1', 'DMSOR2']"
b0431,b0431,cyoB,0.9823718127269792,0.8935716128482426,0.9096063234629719,0.08880019987873655,False,['CYTBO3_4pp']
b2523,b2523,pepB,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['AMPTASEPG', 'AMPTASECG']"
b1872,b1872,torZ,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['DMSOR2pp', 'TMAOR1pp', 'DMSOR1pp', 'TMAOR2pp']"
b0932,b0932,pepN,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['AMPTASEPG', 'AMPTASECG']"
b2143,b2143,cdd,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['CYTD', 'DCYTD']"
b1873,b1873,torY,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['DMSOR2pp', 'TMAOR1pp', 'DMSOR1pp', 'TMAOR2pp']"
b2162,b2162,rihB,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['CYTDH', 'URIH']"
b0237,b0237,pepD,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['AMPTASEPG', 'AMPTASECG', 'LALGP']"
b0099,b0099,mutT,0.9823718127269792,-9.59532467738209e-16,-9.767508140065928e-16,0.9823718127269802,True,"['DNTPPA', 'NTPP1', 'NTPP2']"
b4260,b4260,pepA,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['AMPTASEPG', 'AMPTASECG']"
b0651,b0651,rihA,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['CYTDH', 'URIH']"
b1865,b1865,nudB,0.9823718127269792,-9.59532467738209e-16,-9.767508140065928e-16,0.9823718127269802,True,"['DNTPPA', 'NTPP5']"
b2066,b2066,udk,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['CYTDK2', 'URIK2']"
b1640,b1640,anmK,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['ANHMK']
b1263,b1263,trpD,0.9823718127269792,2.840647265263055e-16,2.8916213071888373e-16,0.9823718127269788,True,"['ANPRT', 'ANS']"
b3575,b3575,yiaK,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['DOGULNR']
b1264,b1264,trpE,0.9823718127269792,2.840647265263055e-16,2.8916213071888373e-16,0.9823718127269788,True,['ANS']
b0776,b0776,bioF,0.9823718127269792,-9.595324677410652e-16,-9.767508140095003e-16,0.9823718127269802,True,['AOXSr2']
b0910,b0910,cmk,0.9823718127269792,5.688758440584668e-16,5.790840460693968e-16,0.9823718127269786,True,"['UMPK', 'CYTK1', 'CYTK2']"
b3603,b3603,lldP,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['D_LACt2pp', 'L_LACt2rpp', 'GLYCLTt2rpp']"
b0103,b0103,coaE,0.9823718127269792,6.297556675711461e-12,6.410563285839797e-12,0.9823718127206816,True,['DPCOAK']
b2975,b2975,glcA,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['D_LACt2pp', 'L_LACt2rpp', 'GLYCLTt2rpp']"
b0049,b0049,apaH,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['AP5AH', 'AP4AH', 'GP4GH']"
b4129,b4129,lysU,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['LYSTRS', 'AP4AS']"
b3774,b3774,ilvC,0.9823718127269792,4.0169215747952925e-15,4.0890032905613055e-15,0.9823718127269752,True,"['KARA1', 'DPR', 'KARA2']"
b0121,b0121,speE,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['APCS', 'SPMS']"
b3059,b3059,plsY,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['APG3PAT141', 'APG3PAT120', 'APG3PAT160', 'APG3PAT180', 'APG3PAT161', 'APG3PAT181', 'APG3PAT140']"
b1189,b1189,dadA,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['DAAD']
b4042,b4042,dgkA,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['DAGK120', 'DAGK160', 'DAGK181', 'DAGK140', 'DAGK141', 'DAGK180', 'DAGK161']"
b2871,b2871,ygeX,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['DAPAL']
b0425,b0425,panE,0.9823718127269792,6.338897588644191e-12,6.452646041469736e-12,0.9823718127206402,True,['DPR']
b2838,b2838,lysA,0.9823718127269792,4.927867986974092e-16,5.016296195729351e-16,0.9823718127269787,True,['DAPDC']
b0968,b0968,yccX,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['APH141', 'APH181', 'APH180', 'APH160', 'APH140', 'APH161', 'APH120']"
