gene_id,our_essential,orth_essential,growth_ratio,growth_drop
b1377,True,False,0.0,0.9823718127269792
b0241,True,False,0.0,0.9823718127269792
b0929,True,False,0.0,0.9823718127269792
b2215,True,False,0.0,0.9823718127269792
b0653,False,False,0.9999999999999939,5.995204332975845e-15
b0655,False,False,0.9999999999999939,5.995204332975845e-15
b0118,True,False,-3.6278627288558185e-16,0.9823718127269795
b1276,True,False,-3.6278627288558185e-16,0.9823718127269795
b4032,False,False,0.9999999999999939,5.995204332975845e-15
b3359,True,False,-1.2533566609403303e-16,0.9823718127269793
b3528,False,False,0.9999999999999939,5.995204332975845e-15
b4033,False,False,0.9999999999999939,5.995204332975845e-15
b4035,False,False,0.9999999999999939,5.995204332975845e-15
b4034,False,False,0.9999999999999939,5.995204332975845e-15
b4036,False,False,0.9999999999999939,5.995204332975845e-15
b4213,False,False,0.9999999999999939,5.995204332975845e-15
b4123,False,False,0.9999999999999939,5.995204332975845e-15
b2835,False,False,0.9999999999999939,5.995204332975845e-15
b4138,False,False,0.9999999999999939,5.995204332975845e-15
b4077,False,False,0.9999999999999939,5.995204332975845e-15
b3503,False,False,0.9999999999999939,5.995204332975845e-15
b1064,False,False,0.9999999999999939,5.995204332975845e-15
b1747,False,False,0.9999999999999939,5.995204332975845e-15
b1539,False,False,0.9999999999999939,5.995204332975845e-15
b1748,True,False,3.3056570478223894e-16,0.9823718127269788
b1090,False,False,0.9999999999999939,5.995204332975845e-15
b3475,False,False,0.9999999999999939,5.995204332975845e-15
b2836,False,False,0.9894793096847311,0.010335229616149855
b2563,False,False,0.9999999999999939,5.995204332975845e-15
b3553,False,False,0.9999999999999939,5.995204332975845e-15
b2578,False,False,0.9999999999999939,5.995204332975845e-15
b1533,False,False,0.9999999999999939,5.995204332975845e-15
b2019,True,False,3.430234994260398e-16,0.9823718127269788
b1134,False,False,0.9999999999999939,5.995204332975845e-15
b3735,False,False,0.40969956209703745,0.5798945112362629
b4067,False,False,0.9999999999999939,5.995204332975845e-15
b0446,False,False,0.9999999999999939,5.995204332975845e-15
b1623,False,False,0.9999999999999939,5.995204332975845e-15
b1096,True,False,-9.767508140065928e-16,0.9823718127269802
b3739,False,False,0.40969956209703745,0.5798945112362629
b3732,False,False,0.40969956209703745,0.5798945112362629
b3737,False,False,0.40969956209703745,0.5798945112362629
b3733,False,False,0.40969956209703745,0.5798945112362629
b3734,False,False,0.40969956209703745,0.5798945112362629
b3738,False,False,0.40969956209703745,0.5798945112362629
b1009,False,False,0.9999999999999939,5.995204332975845e-15
b1812,True,False,-9.767508140065928e-16,0.9823718127269802
b0180,True,False,-9.767508140095049e-16,0.9823718127269802
b3360,True,False,-9.767508140065928e-16,0.9823718127269802
b3731,False,False,0.40969956209703745,0.5798945112362629
b3736,False,False,0.40969956209703745,0.5798945112362629
b0954,False,False,0.9999999999999939,5.995204332975845e-15
b3665,False,False,0.9999999999999939,5.995204332975845e-15
b0347,False,False,0.9999999999999939,5.995204332975845e-15
b3654,False,False,0.9999999999999939,5.995204332975845e-15
b0312,False,False,0.9999999999999939,5.995204332975845e-15
b3580,False,False,0.9999999999999939,5.995204332975845e-15
b3714,False,False,0.9999999999999939,5.995204332975845e-15
b1093,True,False,2.649936775313211e-15,0.9823718127269766
b1095,True,False,-1.4282464173491063e-14,0.9823718127269931
b2323,True,False,-1.7713425895516843e-14,0.9823718127269966
b0474,True,False,1.359858091002109e-15,0.9823718127269778
b0120,False,False,0.9999999999999939,5.995204332975845e-15
b0827,True,False,-9.76750814009499e-16,0.9823718127269802
b1397,False,False,0.9999999999999939,5.995204332975845e-15
b3857,True,False,-9.767508140095049e-16,0.9823718127269802
b3856,True,False,-9.767508140095049e-16,0.9823718127269802
b4214,True,False,1.5433613944723503e-14,0.9823718127269639
b3806,False,False,0.9999999999999939,5.995204332975845e-15
b1245,False,False,0.9999999999999939,5.995204332975845e-15
b0030,False,True,0.9999999999999939,5.995204332975845e-15
b3551,False,False,0.9999999999999939,5.995204332975845e-15
b1246,False,False,0.9999999999999939,5.995204332975845e-15
b0775,True,False,-9.767508140095003e-16,0.9823718127269802
b1329,False,False,0.9999999999999939,5.995204332975845e-15
b0933,False,False,0.9999999999999939,5.995204332975845e-15
b2393,False,False,0.9999999999999939,5.995204332975845e-15
b1247,False,False,0.9999999999999939,5.995204332975845e-15
b1244,False,False,0.9999999999999939,5.995204332975845e-15
b1386,False,False,0.9999999999999939,5.995204332975845e-15
b0366,False,False,0.9999999999999939,5.995204332975845e-15
b0367,False,False,0.9999999999999939,5.995204332975845e-15
b0004,True,True,-1.0048389137472725e-16,0.9823718127269793
b0934,False,False,0.9999999999999939,5.995204332975845e-15
b0365,False,False,0.9999999999999939,5.995204332975845e-15
b0936,False,False,0.9999999999999939,5.995204332975845e-15
b1192,False,False,0.9999999999999939,5.995204332975845e-15
b1216,False,False,0.9999999999999939,5.995204332975845e-15
b1243,False,False,0.9999999999999939,5.995204332975845e-15
b4266,False,False,0.9999999999999939,5.995204332975845e-15
b4132,False,False,0.9999999999999939,5.995204332975845e-15
b4265,False,False,0.9999999999999939,5.995204332975845e-15
b0159,True,False,-9.76750814009499e-16,0.9823718127269802
